Viewer_ID,Month_Year,Age_Group,Gender,Region,Channel_Watched,Anchor_Name,News_Category,Consumption_Frequency,News_Verdict,TRP_Score,Sensationalism_Score,Fake_Units_Consumed,Authentic_Units_Consumed,Sentiment_Score,Trust_Score,Knowledge_Accuracy_Pct
VWR0001,Mar-2024,18-25,Male,South,Times Now,Rahul Shivshankar,Health,Occasional,Authentic,7.8,7.9,0,6,3.82,7.5,88.2
VWR0002,Aug-2025,41-60,Male,West,NDTV,Ravish Kumar,Health,Weekly,Authentic,6.1,4.4,1,8,4.0,8.5,77.8
VWR0003,Oct-2022,18-25,Male,South,Zee News/WION,Palki Sharma,Politics,Weekly,Authentic,6.8,4.5,1,5,2.16,8.4,88.9
VWR0004,Jun-2025,41-60,Male,Central,Times Now,Navika Kumar,Crime,Occasional,Authentic,7.2,5.9,1,9,4.52,9.4,81.7
VWR0005,Jul-2022,60+,Female,Central,Republic TV,Arnab Goswami,Politics,Weekly,Misleading,9.1,10.0,1,2,-0.21,5.1,78.3
VWR0006,Aug-2024,41-60,Male,North,Republic TV,Arnab Goswami,Politics,Weekly,Misleading,9.1,9.8,1,1,-0.17,5.7,61.9
VWR0007,Nov-2023,26-40,Female,North,Republic TV,Arnab Goswami,Crime,Occasional,Misleading,9.1,9.6,2,2,0.48,4.4,78.8
VWR0008,Nov-2025,18-25,Male,West,Zee News/WION,Palki Sharma,Politics,Weekly,Authentic,7.1,5.3,0,3,2.09,6.4,61.5
VWR0009,Sep-2022,60+,Male,South,News18,Amish Devgan,Politics,Occasional,Fake,7.3,7.8,3,0,0.32,4.3,62.4
VWR0010,May-2024,26-40,Female,North,News18,Amish Devgan,Health,Daily,Authentic,5.5,8.5,1,7,2.56,6.9,77.3
VWR0011,Mar-2024,18-25,Other,North,Republic TV,Arnab Goswami,Politics,Daily,Misleading,9.5,10.0,1,1,-0.08,5.6,55.7
VWR0012,Feb-2025,41-60,Male,East,NDTV,Ravish Kumar,Economy,Daily,Fake,5.9,3.9,8,1,-1.55,4.7,49.7
VWR0013,Sep-2023,26-40,Male,West,Zee News/WION,Palki Sharma,Crime,Daily,Fake,6.5,5.7,9,0,-3.04,4.0,35.0
VWR0014,Jul-2025,18-25,Female,North,Aaj Tak,Anjana Om Kashyap,Economy,Weekly,Fake,8.5,9.2,4,1,-0.68,4.9,40.7
VWR0015,Jun-2022,18-25,Male,North,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,9.3,8.4,1,6,2.46,6.9,83.6
VWR0016,Feb-2024,18-25,Female,Central,Aaj Tak,Anjana Om Kashyap,Crime,Occasional,Fake,9.2,9.4,8,1,-2.86,2.7,47.7
VWR0017,Aug-2023,26-40,Female,West,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Fake,8.3,7.7,3,1,0.39,4.0,61.0
VWR0018,Mar-2023,41-60,Male,East,Times Now,Navika Kumar,Health,Daily,Misleading,7.4,7.6,4,2,0.03,5.8,56.2
VWR0019,Sep-2025,26-40,Male,West,Times Now,Rahul Shivshankar,Politics,Daily,Authentic,7.0,6.2,0,4,3.03,6.3,88.2
VWR0020,Feb-2025,41-60,Male,South,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Fake,8.0,9.0,4,1,-0.59,3.9,55.4
VWR0021,Aug-2023,41-60,Male,West,News18,Amish Devgan,Economy,Daily,Fake,6.7,6.8,3,0,-0.57,4.9,39.7
VWR0022,Mar-2023,41-60,Female,South,Republic TV,Arnab Goswami,Politics,Daily,Fake,9.6,9.9,4,1,-0.91,4.7,53.3
VWR0023,May-2024,18-25,Female,North,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Authentic,9.2,8.8,1,4,2.05,6.6,78.9
VWR0024,Jun-2022,41-60,Female,West,Times Now,Rahul Shivshankar,Politics,Daily,Authentic,7.8,5.9,0,6,2.81,7.8,87.8
VWR0025,Apr-2023,26-40,Female,South,Times Now,Rahul Shivshankar,Health,Daily,Authentic,7.9,7.5,1,3,1.33,6.9,68.3
VWR0026,Jan-2022,26-40,Male,Central,Zee News/WION,Palki Sharma,Politics,Weekly,Authentic,6.8,4.5,0,6,5.0,9.2,89.7
VWR0027,Jun-2022,41-60,Female,South,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Authentic,8.4,9.5,1,9,2.55,6.8,94.0
VWR0028,Apr-2023,26-40,Male,Central,Times Now,Navika Kumar,Politics,Daily,Fake,7.4,6.8,9,0,-2.57,3.1,13.1
VWR0029,Sep-2024,60+,Female,Central,Times Now,Navika Kumar,Crime,Daily,Authentic,7.6,7.1,1,7,4.18,7.9,74.9
VWR0030,Jul-2022,18-25,Male,North,Republic TV,Arnab Goswami,Health,Daily,Misleading,9.6,8.7,3,2,0.04,6.0,62.5
VWR0031,Oct-2022,41-60,Female,West,News18,Amish Devgan,Crime,Weekly,Fake,7.6,7.0,5,0,-2.99,3.8,51.0
VWR0032,Aug-2022,18-25,Female,South,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Fake,9.1,8.4,9,0,-4.13,1.5,22.8
VWR0033,Sep-2023,60+,Male,Central,Republic TV,Arnab Goswami,Politics,Occasional,Authentic,9.4,10.0,0,4,1.7,6.2,84.9
